Timestamp,Train ID Type,SHS Route,LMC Route,LOW Route,Route Check,Alert
25.03.202518:13:53,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:13:56,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:01,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:08,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:08,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:09,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:11,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:15,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:18,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:18,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:19,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:20,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:20,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:21,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:22,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:22,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:23,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:24,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:24,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:25,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:14:26,JM0031 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202517:59:29,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202517:59:33,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202517:59:36,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202517:59:39,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202517:59:42,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202517:59:46,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202517:59:49,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202517:59:51,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202517:59:54,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202517:59:58,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:00,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:04,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:08,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:09,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:11,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:12,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
5.03.202518 8:00:13,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:21,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:23,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:24,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:25,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:26,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:27,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:28,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:28,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:29,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:30,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:30,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:31,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:41,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:42,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:43,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:44,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:44,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:46,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:46,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:48,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:54,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:00:57,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:01:01,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:01:04,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:01:07,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:01:10,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:01:11,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:01:12,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:01:13,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
25.03.202518:01:14,JM0023 (to LOW),Not Green,Not Green,Not Green,Other,
