Turnout ID,Date/Time,Status,Throw Time,Text
6501,28.10.2024 16:15:45,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:15:45,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:15:45,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:15:45,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:15:49,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:15:49,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:15:49,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:15:49,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:15:53,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:15:53,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:15:53,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:15:53,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:15:58,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:15:58,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:15:58,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:15:58,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:03,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:03,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:03,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:03,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:04,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:04,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:04,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:04,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:08,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:08,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:08,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:08,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:12,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:12,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:12,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:12,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:16,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:16,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:16,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:16,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:17,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:17,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:17,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:17,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:21,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:21,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:21,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:21,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:27,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:27,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:27,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:29,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:29,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:29,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:29,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:31,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:31,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:31,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:32,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:32,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:32,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:33,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:33,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:33,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:34,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:34,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:34,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:35,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:35,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:35,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:36,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:36,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:36,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:37,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:37,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:37,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:38,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:38,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:38,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:38,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:38,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:38,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:38,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:38,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:39,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:39,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:39,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:40,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:40,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:40,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:40,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:40,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:40,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:40,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:41,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:41,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:41,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:41,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:41,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:41,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:41,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:42,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:42,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:42,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:42,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:42,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:42,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:43,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:43,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:43,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:43,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:43,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:43,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:43,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:44,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:44,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:44,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:44,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:44,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:44,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:44,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:45,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:45,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:45,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:45,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:45,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:45,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:45,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:45,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:45,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:45,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:45,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:45,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:46,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:46,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:46,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:47,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:47,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:47,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:48,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:48,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:48,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:48,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:48,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:48,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:48,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:49,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:49,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:49,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:50,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:50,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:50,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:50,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:50,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:50,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:51,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:51,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:51,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:52,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:52,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:52,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:52,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:53,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:53,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:53,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:53,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:53,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:53,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:53,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:16:54,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:54,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:54,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:54,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:55,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:55,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:55,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:55,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:56,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:56,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:56,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:56,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:57,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:57,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:57,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:16:57,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:16:57,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:16:57,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:16:57,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:06,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:06,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:06,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:09,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:09,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:09,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:17:09,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:17:12,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:12,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:12,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:16,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:16,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:16,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:17:16,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:17:19,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:19,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:19,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:17:19,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:17:20,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:20,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:20,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:21,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:21,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:21,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:22,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:22,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:22,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:17:22,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:17:23,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:23,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:23,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:23,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:23,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:23,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:24,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:24,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:24,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:25,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:25,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:25,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:17:25,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:17:26,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:26,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:26,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:17:26,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:17:27,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:27,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:27,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:27,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:27,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:27,Reverse,0,"Not disturbed, Element available, Reverse position"
6506,28.10.2024 16:17:27,Normal,0,"Not disturbed, Element available, Normal position"
6501,28.10.2024 16:17:28,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:28,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:28,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:35,Reverse,0,"Not disturbed, Element available, Reverse position"
6505,28.10.2024 16:17:35,Normal,0,"Not disturbed, Element available, Normal position"
6500,28.10.2024 16:17:35,Reverse,0,"Not disturbed, Element available, Reverse position"
6501,28.10.2024 16:17:36,Reverse,0,"Not disturbed, Element available, Reverse position"
