alert text,priority,suggested action 
Set train dwell and trip time,1,检查列车停站时间设置是否合理，并重新计算行车间隔
logon,3,3
Record required command from terminal ADM,1,1
Record required command from terminal TC2-OCC,3,3
Record required command from terminal TC3-OCC,3,3
Set route,3,3
Enforce stop platform with doors open,3,3
Set train mission code,3,3
Old JM0374 (1342614) automatically replaced with JL0391 (0012615),3,3
Release hold/skip for all trains set at platform TAP_1,3,3
TGMT stepped JL0408 (1340916) from LBG_C /LBG,3,3
Throw point to normal position,3,3
TGMT stepped JM0406 (1343114) from ZV_C /ZV,3,3
U4: Suspicion mark in rear removed: Proving absence of hidden train,3,3
TGMT stepped JM0384 (1342514) from FV_A /FV,3,3
K1: Point machine,3,3
U205: Time for throw over has expired,3,3
S517:MVB link ok,3,3
K2:0BCU_ATO,3,3
S777:TMS link ok,3,3
K3:0BCU ITF,3,3
Hold all trains with door open set at platform SHT_3,3,3
TGMT stepped JA0390 (1354101) from KV/KV,3,3
K3:OBCU_ITF,3,3
K1:OBCU_ATP,3,3
E7: stopping point missed Count 1,3,3
U1793: Up to overrun limit,3,3
E129:Alarm(0BCU_ID: 32803),3,3
U33027:Violation of platform stopping window,3,3
TGMT stepped JM0384 (1342514) from FP / FP,3,3
Hold all trains with door open set at platform NHUH_4,3,3
Cancel route,3,3
Hold all trains with door open set at platform ADM_7,3,3
TGMT stepped JM0387 (0051015) from EL_B / EL,3,3
S8: Point did not move from right in time,1,检查道岔驱动装置是否正常工作，如有故障立即上报并切换手动模式。
S8: Point did not move from right in time cleared,3,3
S9: Point did not move from left in time,1,1
S9: Point did not move from left in time cleared,3,3
S10: Right throwing without end position,1,1
S10: Right throwing without end position cleared,3,3
S11: Left throwing without end position,1,1
S11: Left throwing without end position cleared,3,3
S12: Point machine trailed,1,1
S12: Point machine trailed cleared,3,3
S13: Point machine disturbed,1,1
S13: Point machine disturbed cleared,3,3
S14: Left position due to trailing,1,1
S14: Left position due to trailing cleared,3,3
S15: Right position due to trailing,1,1
S15: Right position due to trailing cleared,3,3
S17: Illegal operating mode,1,1
S17: Illegal operating mode cleared,3,3
S22: Module switched off,1,1
S22: Module switched on,3,3
S25: Connection to point faulty,1,1
S25: Connection to point ok,3,3
S26: No indication voltage for indicator 1,1,1
S26: Indication voltage for indicator 1 ok,3,3
S27: No indication voltage for indicator 2,1,1
S27: Indication voltage for indicator 2 ok,3,3
S28: No indication voltage for indicator 1,1,1
S28: Indication voltage for indicator 1 ok,3,3
S29: No indication voltage for indicator 2,1,1
S29: Indication voltage for indicator 2 ok,3,3
S30: Position detection not valid,1,1
S30: Position detected,3,3
E203: Turn off of control current,1,1
S0: Lamp failure,2,2
S0: Lamp failure cleared,3,3
S5: Block while deleting,2,2
S5: Block while deleting cleared,3,3
S9: Main filament disturbed switched to auxiliary filament,3,3
S9: Main filament ok,3,3
S12: No test within failure detection time,2,2
S12: No test within failure detection time cleared,3,3
S15: Unit deactivated,2,2
S15: Unit deactivated cleared,3,3
S18: Power supply failure,2,2
S18: Power supply failure cleared,3,3
S19: Unit failure,2,2
S19: Unit failure cleared,3,3
S20: Fault in the outer system,2,2
S20: Fault in the outer system cleared,3,3
S21: Intercore contact,2,2
S21: Intercore contact cleared,3,3
S22: Intercore or module faulty,2,2
S22: Intercore or module fault cleared,3,3
S0: Out of Correspondence error message after OoCT,1,1
S0: Out of Correspondence error message after OoCT cleared,3,3
S1: TVS detected as 'Never Reporting Block',1,1
S1: 'Never reporting block' ok,3,3
S2: TVS detected as 'Always Reporting Block',1,1
S2: 'Always reporting block' ok,3,3
Abnormal PSD opening in alarm,1,1
Abnormal PSD opening no alarm,3,3
E1: PSD abnormal opening detected on platform track,1,1
E2: MGF abnormal extended alarm detected on platform track,1,1
S1: EB applied: serious failure,1,1
S2: EB applied: speed supervision,1,1
S3: EB applied: rollback supervision,1,1
S4: EB applied: doors supervision,1,1
S5: EB applied: delocalization,1,1
S6: EB applied: missed main signal balise,1,1
S11: EB: HW failure: EB-Readback failed,1,1
Snn: No emergency brake,3,3
S28: EB: Plateau speed violated,1,1
S29: EB: POR violated,1,1
S30: EB: POP violated: OBCU_MAL: CTC: Radio loss (Freshness timeout),1,1
S31: EB: POP violated: OBCU_MAL: CTC: RAUZ restrictive,1,1
S32: EB: POP violated: OBCU_MAL: CTC: 'TSR is 0',1,1
S33: EB: POP violated: OBCU_MAL: CTC: Sig. restr. w. OL supervision,1,1
S34: EB: POP violated: OBCU_MAL: CTC: Sig.  restr. wo. OL supervision,1,1
S35: EB: POP violated: OBCU_MAL: CTC: Point restrictive,1,1
S36: EB: POP violated: OBCU_MAL: CTC: Crossing restrictive,1,1
S37: EB: POP violated: OBCU_MAL: CTC: Conditional restriction COR,1,1
S38: EB: POP violated: OBCU_MAL: CTC: ACC without reversal MA,1,1
S39: EB: POP violated: OBCU_MAL: CTC: Neighb. TDB sect. not available,1,1
S40: EB: POP violated: OBCU_MAL: CTC: No MA after redund. changeover,1,1
S41: POP violated: OBCU: No MA after redundancy changeover ,1,1
S49: EB: POP violated: WCU_MAL: CTC: Undefined WCU_MAL  ,1,1
S50: EB: POP violated: WCU_MAL: CTC: Zero length WCU_MAL,1,1
S51: EB: POP violated: WCU_MAL: CTC: Type 'Automatic train' ,1,1
S52: EB: POP violated: WCU_MAL: CTC: Type 'Manual controlled train',1,1
S53: EB: POP violated: WCU_MAL: CTC: Type 'Non-reporting train',1,1
S54: EB: POP violated: WCU_MAL: CTC: Type 'Signal w. OL supervision',1,1
S55: EB: POP violated: WCU_MAL: CTC: Type 'Signal wo. OL supervision',1,1
S56: EB: POP violated: WCU_MAL: CTC: Type 'Other IXL condition',1,1
S57: EB: POP violated: WCU_MAL: CTC: Type 'Points not supervised',1,1
S58: EB: POP violated: WCU_MAL: CTC: Type 'RAUZ restrictive',1,1
S59: EB: POP violated: WCU_MAL: CTC: Type 'TSR is 0',1,1
S60: EB: POP violated: WCU_MAL: CTC: Type WCU_ATP boundary',1,1
S69: EB: ODO failure,1,1
S70: EB: ODO failure radar disqualified,1,1
S71: EB: ODO failure WIG disturbed,1,1
S72: EB: ODO sensor fusion failure,1,1
S73: EB: Delocalization due to unknown point position,1,1
S80: EB: Delocalization due to TDB-Upload,1,1
S81: EB: Delocalization after redundancy changeover,1,1
S82: EB: Delocalization due to balise read outside expect. window ,1,1
S83: EB: Delocalization due to known but unexpected Balise read,1,1
S84: EB: Delocalization due to BTM failure: (HW failure),1,1
S85: EB: Delocalization due to BTM failure (OBCU restart request),1,1
S86: EB: Train consist disrupted,1,1
S87: EB: Uncertainty interval exceeded ,1,1
S88: EB: Delocalization due to invalid TDB version of current section,1,1
S89: Missed main signal Balise,1,1
S90: Balise: LEU failure (default telegram received),1,1
S91: Maximum reposition distance exceeded,1,1
S92: EB: Maximum allowed rollback distance/tolerance exceeded,1,1
S93: EB: Train doors are open while not at standstill,1,1
S94: EB: PSDs are open while not at standstill,1,1
S95: EB: EB due to EB test,1,1
S96: EB: Conditional Stop (PAD activation),1,1
S97: EB: Immediate Stop (Emergency push button operated),1,1
S98: EB: Remote Stop,1,1
S99: Evacuation in progress,1,1
S100: EB: RSRM distance is exceeded,1,1
S101: EB: Forward distance supervision violation in RM,1,1
S102: EB: Evacuation in progress,1,1
"S103: EB: Standstill protection, propulsion cut-off is not available",1,1
S104: EB: Cab activated in RSRM,1,1
S105: EB: Standstill reached in RSRM,1,1
S106: EB: Loss of TTS link in RSRM,1,1
S107: EB: Standstill is left while EB reported by RST during DTRO,1,1
S109: EB of passive OBCU due to activated EB test 0,1,1
S8: Point did not move from right in time,3,3
S8: Point did not move from right in time cleared,3,3
S9: Point did not move from left in time,3,3
S9: Point did not move from left in time cleared,3,3
S10: Right throwing without end position,3,3
S10: Right throwing without end position cleared,3,3
S11: Left throwing without end position,3,3
S11: Left throwing without end position cleared,3,3
S12: Point machine trailed,3,3
S12: Point machine trailed cleared,3,3
S13: Point machine disturbed,3,3
S13: Point machine disturbed cleared,3,3
S14: Left position due to trailing,3,3
S14: Left position due to trailing cleared,3,3
S15: Right position due to trailing,3,3
S15: Right position due to trailing cleared,3,3
S17: Illegal operating mode,3,3
S17: Illegal operating mode cleared,3,3
S22: Unit deactivated,3,3
S22: Unit deactivated cleared,3,3
S23: Invalid position indication module faulty,3,3
S23: Invalid position indication module ok,3,3
S24: Invalid position indication module faulty,3,3
S24: Invalid position indication module ok,3,3
S25: Connection to point faulty,3,3
S25: Connection to point ok,3,3
S26: No indication voltage for indicator 1,3,3
S26: Indication voltage for indicator 1 ok,3,3
S27: No indication voltage for indicator 2,3,3
S27: Indication voltage for indicator 2 ok,3,3
S28: No indication voltage for indicator 1,3,3
S28: Indication voltage for indicator 1 ok,3,3
S29: No indication voltage for indicator 2,3,3
S29: Indication voltage for indicator 2 ok,3,3
S30: Position detection not valid,3,3
S30: Position detected,3,3
S31: Error during checkup,3,3
S31: Error during checkup cleared,3,3
E100: No daily checkup,3,3
E200: Error at checkup,3,3
E201: No checkup,3,3
E203: Turn off of control current,3,3
S0: Lamp failure,3,3
S0: Lamp failure cleared,3,3
S5: Block while deleting,3,3
S5: Block while deleting cleared,3,3
S9: Main filament failed or significant part of LED signal failed,3,3
S9: Main filament or LED signal ok,3,3
S12: No test within failure detection time,3,3
S12: No test within failure detection time cleared,3,3
S15: Unit deactivated,3,3
S15: Unit deactivated cleared,3,3
S18: Power supply failure,3,3
S18: Power supply failure cleared,3,3
S19: Unit failure,3,3
S19: Unit failure cleared,3,3
S20: Fault in the outer system,3,3
S20: Fault in the outer system cleared,3,3
S21: Intercore contact,3,3
S21: Intercore contact cleared,3,3
S22: Intercore or module faulty,3,3
S22: Intercore or module fault cleared,3,3
E11: No daily checkup,3,3
E206: Parameter combination inadmissible,3,3
S0: Out of Correspondence error message after OoCT,3,3
S0: Out of Correspondence error message after OoCT cleared,3,3
S1: TVS detected as 'Never Reporting Block',3,3
S1: 'Never reporting block' ok,3,3
S2: TVS detected as 'Always Reporting Block',3,3
S2: 'Always reporting block' ok,3,3
E1: Plausibility Tracking Inconsistency (LTE ID: nnnnn),3,3
Abnormal PSD opening in alarm,3,3
Abnormal PSD opening no alarm,3,3
E0: Alarm switch check not executed,3,3
E1: PSD abnormal opening detected on platform track,3,3
E2: MGF abnormal extended alarm detected on platform track,3,3
Abnormal MGF extension in alarm,3,3
Abnormal MGF extension no alarm,3,3
S10: Faulty digital input (antivalence fault),3,3
S10: Faulty digital input (antivalence fault) cleared,3,3
S11: Disturbed,3,3
S11: Not disturbed,3,3
S12: Unit deactivated,3,3
S12: Unit deactivated cleared,3,3
S13: Oscillating input,3,3
S13: Oscillating input cleared,3,3
S1: WCU_TTS busy,3,3
S1: WCU TTS ok,3,3
S30: Redundancy loss of adjacent WCU_ATP,3,3
S30: Redundancy of adjacent WCU_ATP ok,3,3
S50: Connection loss of adjacent WCU_ATP,3,3
S50: Connection of adjacent WCU_ATP ok,3,3
E1: Unknown OBCU (OBCU ID: nnnnn),3,3
E2: OBCU connected (OBCU ID: nnnnn),3,3
E3: OBCU released (OBCU ID: nnnnn),3,3
E4: OBCU rejected (OBCU ID: nnnnn),3,3
E256: Suspicion mark removed (OBCU ID nnnnn),3,3
E257: Suspicion mark inserted (OBCU ID: nnnnn),3,3
S1: Computer failure,3,3
S1: Computer ok,3,3
S2: Collective failure,3,3
S2: Collective ok,3,3
S255: Connection lost,3,3
S255: Connection ok,3,3
E253: Computer information,3,3
S255: Connection lost,3,3
S255: Connection ok,3,3
E254: Redundancy state,3,3
Z2: Connection XR1 to SR failed,3,3
Z2: Connection XR1 to SR ok,3,3
Z3: Connection XR2 to SR failed,3,3
Z3: Connection XR2 to SR ok,3,3
Z4: Connection XR1 to Ethernet 1 failed,3,3
Z4: Connection XR1 to Ethernet 1 ok,3,3
Z5: Connection XR2 to Ethernet 1 failed,3,3
Z5: Connection XR2 to Ethernet 1 ok,3,3
Z6: Connection XR3 to Ethernet 1 failed,3,3
Z6: Connection XR3 to Ethernet 1 ok,3,3
Z7: Connection XR4 to Ethernet 1 failed,3,3
Z7: Connection XR4 to Ethernet 1 ok,3,3
Z8: Connection XR1 to Ethernet 2 failed,3,3
Z8: Connection XR1 to Ethernet 2 ok,3,3
Z9: Connection XR2 to Ethernet 2 failed,3,3
Z9: Connection XR2 to Ethernet 2 ok,3,3
Z10: Connection XR3 to Ethernet 2 failed,3,3
Z10: Connection XR3 to Ethernet 2 ok,3,3
Z11: Connection XR4 to Ethernet 2 failed,3,3
Z11: Connection XR4 to Ethernet 2 ok,3,3
Z20: Connection channel A failed,3,3
Z20: Connection channel A ok,3,3
Z21: Connection channel B failed,3,3
Z21: Connection channel B ok,3,3
Z25: Connection channel C failed,3,3
Z25: Connection channel C ok,3,3
Z26: Connection channel D failed,3,3
Z26: Connection channel D ok,3,3
S1: ECC group failure,3,3
S1: ECC group ok,3,3
Z1: Interlocking redundancy disturbed,3,3
Z1: Interlocking redundancy ok,3,3
General inquiry started,3,3
General inquiry completed,3,3
Power supply failure,3,3
Power supply ok,3,3
Signal power supply failure,3,3
Signal power supply ok,3,3
Point power supply failure,3,3
Point power supply ok,3,3
Track circuit power supply failure,3,3
Track circuit power supply ok,3,3
Disturbed,3,3
Not disturbed,3,3
Earth leakage,3,3
Earth leakage cleared,3,3
Battery undervoltage,3,3
Battery ok,3,3
Main supply A not available,3,3
Main supply A available,3,3
Main supply B not available,3,3
Main supply B available,3,3
Main supply A not feeding,3,3
Main supply A feeding,3,3
Main supply B not feeding,3,3
Main supply B feeding,3,3
Load on bypass,3,3
Load on inverter,3,3
Battery operation ,3,3
Battery not in operation,3,3
Manual bypass on,3,3
Manual bypass off,3,3
UPS failure,3,3
UPS ok,3,3
Battery failure,3,3
Battery ok,3,3
Overtemperature alarm,3,3
Overtemperature alarm cleared,3,3
Bypass in operation,3,3
Bypass not in operation,3,3
Main backup feeding failure,3,3
Main backup feeding ok,3,3
Fan failure,3,3
Fan ok,3,3
Disturbed,3,3
Not disturbed,3,3
Activated,3,3
Reset,3,3
S11: EB: HW failure: EB-Readback failed,3,3
S11: No emergency brake,3,3
S12: EB: FDI procedure in progress,3,3
S12: No emergency brake,3,3
S13: EB: WMA synchronisation problem on redundancy changeover,3,3
S13: No emergency brake,3,3
S14: EB: Moving with deactivated cabs,3,3
S14: No emergency brake,3,3
S15: EB: Moving with two activated cabs,3,3
S15: No emergency brake,3,3
S16: EB: Moving while waiting for RM acknowledgment,3,3
S16: No emergency brake,3,3
S17: EB: Moving while ACC in progress,3,3
S17: No emergency brake,3,3
S19: Moving while incomplete train consist at start-up,3,3
S19: No emergency brake,3,3
S20: EB: Moving while TDB-Upload in progress,3,3
S20: No emergency brake,3,3
S22: EB: Moving while train consist determination in progress,3,3
S22: No emergency brake,3,3
S23: EB: Moving while IO test in progress,3,3
S23: No emergency brake,3,3
S24: EB: Moving while switchover to OTC in progress,3,3
S24: No emergency brake,3,3
S25: EB: Moving while DDI active,3,3
S25: No emergency brake,3,3
S26: EB: Moving while NR responsibility not confirmed,3,3
S26: No emergency brake,3,3
S27: EB: Moving while standstill supervision requested by OBCU_ITF,3,3
S27: No emergency brake,3,3
S28: EB: Plateau speed violated,3,3
S28: No emergency brake,3,3
S29: EB: POR violated,3,3
S29: No emergency brake,3,3
S30: EB: POP violated: OBCU_MAL: CTC: Radio loss (Freshness timeout),3,3
S30: No emergency brake,3,3
S31: EB: POP violated: OBCU_MAL: CTC: RAUZ restrictive,3,3
S31: No emergency brake,3,3
S32: EB: POP violated: OBCU_MAL: CTC: 'TSR is 0',3,3
S32: No emergency brake,3,3
S33: EB: POP violated: OBCU_MAL: CTC: Sig. restr. w. OL supervision,3,3
S33: No emergency brake,3,3
S34: EB: POP violated: OBCU_MAL: CTC: Sig.  restr. wo. OL supervision,3,3
S34: No emergency brake,3,3
S35: EB: POP violated: OBCU_MAL: CTC: Point restrictive,3,3
S35: No emergency brake,3,3
S36: EB: POP violated: OBCU_MAL: CTC: Crossing restrictive,3,3
S36: No emergency brake,3,3
S37: EB: POP violated: OBCU_MAL: CTC: Conditional restriction COR,3,3
S37: No emergency brake,3,3
S38: EB: POP violated: OBCU_MAL: CTC: ACC without reversal MA,3,3
S38: No emergency brake,3,3
S39: EB: POP violated: OBCU_MAL: CTC: Neighb. TDB sect. not available,3,3
S39: No emergency brake,3,3
S40: EB: POP violated: OBCU_MAL: CTC: No MA after redund. changeover,3,3
S40: No emergency brake,3,3
S49: EB: POP violated: WCU_MAL: CTC: Undefined WCU_MAL  ,3,3
S49: No emergency brake,3,3
S50: EB: POP violated: WCU_MAL: CTC: Zero length WCU_MAL,3,3
S50: No emergency brake,3,3
S51: EB: POP violated: WCU_MAL: CTC: Type 'Automatic train' ,3,3
S51: No emergency brake,3,3
S52: EB: POP violated: WCU_MAL: CTC: Type 'Manual controlled train',3,3
S52: No emergency brake,3,3
S53: EB: POP violated: WCU_MAL: CTC: Type 'Non-reporting train',3,3
S53: No emergency brake,3,3
S54: EB: POP violated: WCU_MAL: CTC: Type 'Signal w. OL supervision',3,3
S54: No emergency brake,3,3
S55: EB: POP violated: WCU_MAL: CTC: Type 'Signal wo. OL supervision',3,3
S55: No emergency brake,3,3
S56: EB: POP violated: WCU_MAL: CTC: Type 'Other IXL condition',3,3
S56: No emergency brake,3,3
S57: EB: POP violated: WCU_MAL: CTC: Type 'Points not supervised',3,3
S57: No emergency brake,3,3
S58: EB: POP violated: WCU_MAL: CTC: Type 'RAUZ restrictive',3,3
S58: No emergency brake,3,3
S59: EB: POP violated: WCU_MAL: CTC: Type 'TSR is 0',3,3
S59: No emergency brake,3,3
S60: EB: POP violated: WCU_MAL: CTC: Type WCU_ATP boundary',3,3
S60: No emergency brake,3,3
S62: EB: POP violated: OBCU_MAL: CTC: 'Mode not allowed',3,3
S62: No emergency brake,3,3
S63: EB: POP violated: OBCU_MAL: CTC: 'FAO not allowed',3,3
S63: No emergency brake,3,3
S69: EB: ODO failure,3,3
S69: No emergency brake,3,3
S70: EB: ODO failure radar disqualified,3,3
S70: No emergency brake,3,3
S71: EB: ODO failure WIG disturbed,3,3
S71: No emergency brake,3,3
S72: EB: ODO sensor fusion failure,3,3
S72: No emergency brake,3,3
S73: EB: Delocalization due to unknown point position,3,3
S73: No emergency brake,3,3
S80: EB: Delocalization due to TDB-Upload,3,3
S80: No emergency brake,3,3
S81: EB: Delocalization after redundancy changeover,3,3
S81: No emergency brake,3,3
S82: EB: Delocalization due to balise read outside expect. window ,3,3
S82: No emergency brake,3,3
S83: EB: Delocalization due to known but unexpected Balise read,3,3
S83: No emergency brake,3,3
S84: EB: Delocalization due to BTM failure: (HW failure),3,3
S84: No emergency brake,3,3
S85: EB: Delocalization due to BTM failure (OBCU restart request),3,3
S85: No emergency brake,3,3
S86: EB: Train consist disrupted,3,3
S86: No emergency brake,3,3
S87: EB: Uncertainty interval exceeded ,3,3
S87: No emergency brake,3,3
S88: EB: Delocalization due to invalid TDB version of current section,3,3
S88: No emergency brake,3,3
S92: EB: Maximum allowed rollback distance/tolerance exceeded,3,3
S92: No emergency brake,3,3
S93: EB: Train doors are open while not at standstill,3,3
S93: No emergency brake,3,3
S94: EB: PSDs are open while not at standstill,3,3
S94: No emergency brake,3,3
S95: EB: EB due to EB test,3,3
S95: No emergency brake,3,3
S96: EB: Conditional Stop (PAD activation),3,3
S96: No emergency brake,3,3
S97: EB: Immediate Stop (Emergency push button operated),3,3
S97: No emergency brake,3,3
S98: EB: Remote Stop,3,3
S98: No emergency brake,3,3
S100: EB: RSRM distance is exceeded,3,3
S100: No emergency brake,3,3
S101: EB: Forward distance supervision violation in RMR,3,3
S101: No emergency brake,3,3
